Date,Open,High,Low,Close,Volume
2020-01-02,112.42278872287856,112.56249931552371,109.38386014234321,110.09119415283203,5149800
2020-01-03,108.85992623500088,109.61965350517286,108.22244741859967,108.94725036621094,5018500
2020-01-06,108.2573625487664,108.85117588139377,107.60242166700398,107.91679382324219,4226900
2020-01-07,107.41031092308647,108.65906521088353,107.41031092308647,108.10891723632812,3641600
2020-01-08,108.32722215874409,109.37512488187268,107.7072056078763,107.75960540771484,5731600
2020-01-09,107.84693908691406,109.07823122505037,107.11340844816328,107.84693908691406,5369700
2020-01-10,108.90356694580817,109.76808702779617,108.32722244528385,108.92103576660156,4678000
2020-01-13,108.79878162744146,108.87737800170977,107.34918253301693,108.1700439453125,3632800
2020-01-14,107.93428220946082,109.73319146559511,107.79456491851721,109.3838882446289,3291900
2020-01-15,102.59869219019808,104.26661185462885,100.91331036333551,102.1707992553711,26743400
2020-01-16,102.29304145392977,102.45022754557229,101.14908008066703,101.57697296142578,9361600
2020-01-17,101.72542190328873,102.86065549708002,101.44598071038061,102.10092163085938,7303800
2020-01-21,101.8738587349272,101.8738587349272,99.39381284183924,99.58592987060547,8188000
2020-01-22,99.67326328644339,100.49412460879488,99.35015673857248,99.46368408203125,5070600
2020-01-23,99.1405760710055,100.92201593822446,98.76507639317401,100.8870849609375,4641500
2020-01-24,101.29751975937776,101.29751975937776,99.2366386519706,99.83045196533203,4338900
2020-01-27,98.63410325604967,101.48091508436025,98.3022689103806,101.10541534423828,6779200
2020-01-28,101.42852744901336,101.69923425459137,100.79978304420904,100.80851745605469,3865100
2020-01-29,101.10542829361147,101.36740736907495,99.76934966603788,99.78681182861328,5250600
2020-01-30,99.35017031707834,100.17103175161958,98.58170868760386,100.13610076904297,4466400
2020-01-31,99.03580311904177,99.36763745428615,96.381108449876,96.70420837402344,6961900
2020-02-03,97.05352425331714,99.03581610073765,96.93126913154897,98.24988555908203,5186000
2020-02-04,99.23665642194351,100.24963499888136,98.85242224966997,98.89608764648438,3626000
2020-02-05,99.55974113604637,101.21019150403988,99.42001722689851,100.8870849609375,3636700
2020-02-06,101.28879673679855,101.62936548956266,100.21469733574365,100.5465316772461,4024800
2020-02-07,100.44175409941731,100.99190883222656,99.95273359239108,100.95697784423828,2970800
2020-02-10,100.94821722873095,102.38035405248947,100.94821722873095,102.15331268310547,3862000
2020-02-11,102.23192746615948,102.29305502866548,100.52908346606044,101.90009307861328,3065100
2020-02-12,101.87389717217307,103.69899630926184,101.70797664610876,103.1401138305664,3764800
2020-02-13,102.90431718088938,103.48066840540493,102.53755185387244,103.2885513305664,2654900
2020-02-14,103.30601934836685,103.44573661654029,101.5595101905747,101.8476791381836,3289100
2020-02-18,102.70834412858599,103.51631569422871,102.18141081208553,103.48118591308594,3122500
2020-02-19,103.35821941930291,103.74463355287304,102.7961564065467,103.0947494506836,2866700
2020-02-20,102.72591533523189,103.88517134513133,102.37462421398219,103.85882568359375,2659300
2020-02-21,103.48119116243785,104.40332283801102,102.57662102816661,102.76104736328125,3856500
2020-02-24,100.5391385802437,101.86525268337532,99.34475278513645,99.92437744140625,5304900
2020-02-25,100.28442639456806,101.12752084651056,98.03616782240228,98.1152114868164,5095900
2020-02-26,98.5192167266005,98.98467460198236,96.85937309159094,97.18431854248047,4318300
2020-02-27,95.1819509801012,96.0601753147775,92.68779708577411,92.758056640625,6713400
2020-02-28,89.7633095072883,91.51097407792152,88.47231864795943,90.45710754394531,9174100
2020-03-02,90.79082977254163,96.11287382420339,90.41319303868048,95.77914428710938,9691100
2020-03-03,98.3611367971247,98.53677900413415,91.30021153014977,92.9512710571289,10927400
2020-03-04,93.96999614284644,94.90969583626213,91.92373200193957,94.69013977050781,6834800
2020-03-05,92.7756140618419,95.23464476993293,92.43310712254404,93.0654296875,5294900
2020-03-06,91.475851137509,93.46941745570341,90.23755159292689,93.04786682128906,5370800
2020-03-09,87.61166400897591,94.5671993304546,87.61166400897591,91.36167907714844,7346600
2020-03-10,93.30256883754332,96.24461956723314,92.0379301160167,95.1380615234375,7461000
2020-03-11,93.11812919591986,94.83067074343958,90.82596304639425,92.72293090820312,6102500
2020-03-12,87.15498158710352,89.16611612885566,81.15671443978998,81.34114074707031,10208800
2020-03-13,84.88036543635238,92.33648659365679,81.26207952628934,88.71820068359375,9267200
2020-03-16,81.31478676644097,87.7697408940807,80.05893241815498,82.36865997314453,6963700
2020-03-17,83.53671349438011,93.52212136981379,83.48401547027987,91.0103988647461,10586400
2020-03-18,86.89151111620936,95.15559798404982,85.0560189141162,90.29901885986328,8845700
2020-03-19,90.21118672095488,94.07537436217882,87.6555512010801,88.26152801513672,7414200
2020-03-20,87.2076825115733,90.0004362726777,84.6432622621515,85.53905487060547,8057200
2020-03-23,84.79255359720158,87.11984248790677,82.38621433990302,84.9155044555664,7104300
2020-03-24,87.94539447634101,89.27151525066002,84.30954584768523,88.31424713134766,6498600
2020-03-25,87.04960718953764,87.2340335142649,79.49687179411336,79.95355224609375,12563200
2020-03-26,80.26090524154736,84.72228557103831,80.10282462513804,84.3709945678711,7014000
2020-03-27,82.98340871701186,85.91668123896984,81.61338101112742,83.20296478271484,4902800
2020-03-30,84.46761775858016,85.8639912507859,83.87042493604889,84.31832122802734,4485600
2020-03-31,83.677217590644,84.99455415649248,80.93716182188415,81.64852142333984,6388400
2020-04-01,80.48047470151512,84.43248407044717,80.17309753510656,83.66842651367188,8581000
2020-04-02,82.79020376349484,84.01971915252761,80.90202683426288,82.86924743652344,5929200
2020-04-03,82.14030508779707,82.6672382467808,79.1894713571058,81.29721069335938,6815300
2020-04-06,81.86808229149626,85.90791332226937,80.9108141803268,85.63566589355469,7107800
2020-04-07,86.72466250644938,89.28029881519842,85.21411541403258,86.2943344116211,6599300
2020-04-08,88.12981171387923,92.81953320211198,87.82243453307747,91.88861083984375,7542900
2020-04-09,89.57888772210728,92.06426435227793,89.13977552739107,91.51097869873047,7069200
2020-04-13,91.51097499675049,92.53850258306235,90.378071476495,91.93252563476562,3235500
2020-04-14,95.27855864550249,96.52564232508709,92.98639253696922,95.18195343017578,5032300
2020-04-15,95.51568815141624,95.72646013249897,92.43311861417907,93.30255889892578,4225600
2020-04-16,93.97001787637589,96.5080860474785,93.66264065329305,95.98993682861328,5950300
2020-04-17,97.39507775038197,100.17904721733414,95.22586262302436,99.60820007324219,7617500
2020-04-20,98.80022384130412,98.80022384130412,95.48053739228735,95.70887756347656,5329600
2020-04-21,95.07658802683353,95.07658802683353,93.0127617532432,93.8822021484375,4519700
2020-04-22,95.01509122321355,95.31368427554045,93.46063042629808,93.82948303222656,2954600
2020-04-23,88.43720215096931,92.65268232056414,88.26155993570329,91.21239471435547,16508000
2020-04-24,91.7744354853033,95.24341864409371,91.2123724929978,94.69013977050781,6088600
2020-04-27,95.4454314583088,97.65855407696515,95.29613491307006,96.49929809570312,4340700
2020-04-28,97.93079409811253,100.0121814121516,96.70127873140673,98.36112213134766,4904700
2020-04-29,99.67845174469147,100.15269364073094,96.70127209204296,98.44893646240234,4929800
2020-04-30,97.55317466386927,97.65855731090602,95.62986095159783,96.37635040283203,4769600
2020-05-01,95.5947191127398,96.14800474118594,93.17960215136901,95.05022430419922,4590500
2020-05-04,94.69892974404239,98.38746919663315,94.52328086038771,98.10643768310547,4578300
2020-05-05,98.09765446228839,99.57307159690154,97.01744229427797,98.15035247802734,4201100
2020-05-06,99.1427413466091,101.54029664960488,98.85292571761582,99.74871826171875,4913900
2020-05-07,100.78503461128015,101.2504924739592,99.32717888257477,99.5555191040039,3689800
2020-05-08,100.74113283979263,102.60297121498841,100.2229835945236,101.72474670410156,4266900
2020-05-11,102.59416394222966,106.036801639958,101.81254483994745,105.54499816894531,5996300
2020-05-12,106.26514564865063,107.97768043971989,104.85120391845703,104.85120391845703,4897000
2020-05-13,104.90390024764082,105.94020529133189,103.75342844586324,104.63165283203125,4677900
2020-05-14,103.5777948561164,106.11586300703087,102.85765106762719,105.33424377441406,5635600
2020-05-15,105.6942998953503,107.7142185941028,105.21128051978434,106.21245574951172,8354200
2020-05-18,108.2499463472588,110.26108111883727,107.81961154744072,109.95369720458984,6320900
2020-05-19,110.45691153033566,111.2161874544841,108.39097267705372,108.74412536621094,7914900
2020-05-20,109.55638087630979,110.28034765352567,105.31856846421931,105.61874389648438,12897000
2020-05-21,105.61874586583276,106.27208076440549,103.86181964772221,104.78001403808594,7620700
