Date,Open,High,Low,Close,Volume
2020-01-02,19.876619338989258,20.024082450587105,19.667064626282528,19.876619338989258,3627000
2020-01-03,19.58168549839371,19.65929850097746,19.30228076157507,19.4730281829834,3735700
2020-01-06,19.333330462863433,19.628259658813477,19.1936273153445,19.628259658813477,3267000
2020-01-07,20.140499189945693,20.140499189945693,19.612732515845437,19.83780860900879,4474800
2020-01-08,19.884380627612842,19.969753617753597,19.58168999604671,19.729154586791992,3995200
2020-01-09,19.884380326342725,19.907663195871425,19.426465141238893,19.558406829833984,4126500
2020-01-10,19.597210056712747,19.651538719024668,19.372132478169046,19.418701171875,2571700
2020-01-13,19.41870334925193,19.884379976111592,19.39541899978813,19.79900550842285,3554400
2020-01-14,19.760199762728654,19.81452991561111,19.511839270932914,19.597213745117188,2618400
2020-01-15,19.51183451178519,19.69034486702491,19.403177193213576,19.496313095092773,2190400
2020-01-16,19.659299471449607,20.000795811468976,19.59720936238654,19.99303436279297,2373000
2020-01-17,20.05512536950812,20.124976930373695,19.86109358495819,19.97751235961914,2722600
2020-01-21,19.86885707646906,19.96199151363388,19.698108141091577,19.79900550842285,3522700
2020-01-22,19.93870841594936,20.17154598653748,19.86885684870389,20.070650100708008,3102600
2020-01-23,20.10946102068135,20.117222472401977,19.65154573158314,19.930952072143555,3113300
2020-01-24,19.946469214705395,19.977513532276234,19.457508259944913,19.60497283935547,2299000
2020-01-27,19.22467093898107,19.278999605672837,18.99959334229217,19.1237735748291,4959500
2020-01-28,19.356609419280222,19.58168549839371,19.294519313282205,19.4730281829834,4314300
2020-01-29,19.643780514842817,19.78348365834686,19.279001235961914,19.279001235961914,4796400
2020-01-30,19.457508269439685,20.365577134092863,18.991831662888934,20.34229278564453,8693700
2020-01-31,20.179304497739302,20.28796181747828,19.54288051581964,19.636014938354492,14991900
2020-02-03,19.674825618513132,19.946470445661284,19.558406829833984,19.558406829833984,3738800
2020-02-04,19.915420719259348,20.202588389704808,19.84556916375491,19.853330612182617,2833300
2020-02-05,20.23363626221535,20.474235284416505,20.109456026218286,20.419906616210938,3182000
2020-02-06,20.62170001818683,20.714835936027423,20.187069189069497,20.241397857666016,2717400
2020-02-07,19.868858337402344,20.17154749791529,19.76019951335401,19.868858337402344,2322400
2020-02-10,19.767960963667843,19.876619787716173,19.620497848740925,19.868858337402344,2458500
2020-02-11,19.799007675583614,19.84557489926318,19.32556954708107,19.527362823486328,4121500
2020-02-12,19.713628310222635,19.89213719035114,19.03839855309481,19.100488662719727,5056300
2020-02-13,19.007357143851678,19.123775941217648,18.63481640014245,18.790040969848633,4308600
2020-02-14,18.797797196673308,18.93750030682856,18.596003979820715,18.906455993652344,3614200
2020-02-18,20.978714767573585,21.421106950760958,19.643775289498148,20.218109130859375,19282300
2020-02-19,20.303487388364076,20.38110040426029,19.504075841219812,19.69034767150879,8753600
2020-02-20,19.74467455694947,20.12497667214619,19.62825578378231,19.92318344116211,5393300
2020-02-21,19.721392837915747,19.775721507276337,19.395419341407006,19.558406829833984,5012600
2020-02-24,18.8288495512718,19.178105968016467,18.70466929460542,18.774520874023438,5771700
2020-02-25,18.95302771957083,18.984072040144046,18.262274932932513,18.30108070373535,5792900
2020-02-26,18.40197654598062,18.487351017928983,17.850926904283675,17.858688354492188,5036600
2020-02-27,17.447337720586532,18.502871102801496,17.22226162017013,17.571517944335938,7901100
2020-02-28,16.966141843479537,17.183456522020872,16.57807822568976,16.88852882385254,10490300
2020-03-02,17.035995862567123,18.130335303652235,16.86524689876817,18.122573852539062,8850900
2020-03-03,18.006150947643697,18.627052091902403,17.819879124020986,18.153614044189453,15145100
2020-03-04,18.262269588798787,18.37092689952628,17.788831625752124,18.176895141601562,8539300
2020-03-05,17.424055448279727,17.571518543797275,16.849720043413697,17.17569351196289,7152800
2020-03-06,16.492701528125462,17.455098992595854,16.43061141688044,16.803152084350586,7709500
2020-03-09,15.30523229509678,15.988225258403624,15.134484794442859,15.14224624633789,7533000
2020-03-10,15.887321274564602,16.050308736067123,14.529098843538447,15.638960838317871,6393900
2020-03-11,15.181048162631349,15.305228400662857,14.210889127794436,14.591191291809082,6941300
2020-03-12,13.496851124780848,13.799541730231601,12.751769745953078,13.007891654968262,6361300
2020-03-13,13.8150607526576,14.265214377712423,13.038933710815153,14.05566120147705,7078100
2020-03-16,12.185195400841042,14.210886878491378,11.874744854900468,13.784017562866211,7486800
2020-03-17,14.109995734339297,15.646727561950682,13.714170600497793,15.646727561950684,7188900
2020-03-18,14.629995468935462,17.105841220378668,14.358350700160738,15.367315292358398,10336300
2020-03-19,15.041342407725178,16.632403836236985,15.025820990930708,15.08014965057373,8122400
2020-03-20,15.080152953410703,15.080152953410703,12.961325881200187,13.11655044555664,9294700
