Date,Open,High,Low,Close,Volume
2020-06-11,52.11247450086806,54.03877461360612,51.83795513377939,52.34511947631836,3293900.0
2020-06-12,53.72237503987505,54.88559986808094,51.27494900736333,52.149696350097656,4313000.0
2020-06-15,50.72590966057869,53.7875184362725,50.09311858357185,53.666542053222656,4464300.0
2020-06-16,55.369507577630905,55.648680855441114,53.39202516414409,53.834049224853516,3510300.0
2020-06-17,54.085295400405215,54.15043570050988,52.54053311957425,52.80109786987305,2441500.0
2020-06-18,52.52192698543217,53.675847594980624,52.33581384991705,53.49903869628906,2137500.0
2020-06-19,54.86698047769575,54.86698047769575,52.06593702942758,53.04304504394531,7096100.0
2020-06-22,52.931379934792325,54.14113296291533,52.70803922119598,53.09888458251953,2027000.0
2020-06-23,53.68514907383809,53.85265372710089,52.66151268157018,52.85693359375,2386900.0
2020-06-24,52.252060563143985,53.015135764414765,51.41453726912462,51.68440628051758,3022000.0
2020-06-25,51.228415824822264,52.577757206468725,50.958546838516945,52.298583984375,2942900.0
2020-06-26,52.32649556437724,52.559140486973554,50.66262075351167,51.91704177856445,6634300.0
2020-06-29,52.010111554583546,52.856939146199586,51.48898906736181,52.642906188964844,2257300.0
2020-06-30,52.084546332945095,53.136098825675404,51.65647697806642,52.91276168823242,2518100.0
2020-07-01,53.04305396818797,53.04305396818797,51.87982910046455,51.907745361328125,2400200.0
2020-07-02,52.51262229691369,53.26639326883607,51.89843972530747,52.577762603759766,3162900.0
2020-07-06,53.39666355253194,53.582780200320954,52.51261213794397,52.91276168823242,1999100.0
2020-07-07,52.51261614853898,53.33152733142624,52.22413514493959,52.87554168701172,2537900.0
2020-07-08,53.070961752099414,53.18263387747764,52.363722707437354,52.968597412109375,6694900.0
2020-07-09,52.912771010366086,53.91779540568356,52.1776120745136,52.21483612060547,2424200.0
2020-07-10,52.326498331292065,53.3315261539942,52.149689458726314,53.02443313598633,2137300.0
2020-07-13,52.63359957081792,53.917797256137106,52.54519334578575,52.94068908691406,2882500.0
2020-07-14,52.317198767670995,53.46181152359575,52.14038632943623,53.38736343383789,2755100.0
2020-07-15,53.98293563365109,54.90421124875555,53.843350785828264,54.15974807739258,2358400.0
2020-07-16,53.97363803467738,54.49476409365895,53.65538056663645,54.27142333984375,2628800.0
2020-07-17,54.65295923184736,54.93213250275577,54.113224714741875,54.48545455932617,2983100.0
2020-07-20,54.36447824749803,55.509094694574735,53.964332140243506,54.4947624206543,2407800.0
2020-07-21,54.32725844785197,54.84838094766817,54.06669364806307,54.38309097290039,2314000.0
2020-07-22,53.936401448823545,54.839064942131095,53.67584025482962,54.42030334472656,2034300.0
2020-07-23,54.438922667769006,55.33972259488936,54.29003002981819,54.96004867553711,2566500.0
2020-07-24,55.07171645083202,55.08567458076434,53.62931837644508,54.094608306884766,3142100.0
2020-07-27,53.843357407402195,54.383091941810925,53.601404628278985,54.27142333984375,2670300.0
2020-07-28,55.66729007978536,57.53775769177719,55.5556214842559,56.09535598754883,4473600.0
2020-07-29,56.72814799596643,59.8921209723981,56.72814799596643,59.83628845214844,4885400.0
2020-07-30,59.03598445932372,60.04100885229296,58.766119000489276,58.98945617675781,2307000.0
2020-07-31,59.03598173040668,59.03598173040668,57.863452734495574,58.384578704833984,3156100.0
2020-08-03,58.64514772544432,59.38961096087546,58.3845864805136,58.821956634521484,3200500.0
2020-08-04,58.23568313888762,58.53346837837409,57.66802891677903,58.26359939575195,1739400.0
2020-08-05,58.38457985287953,59.231407352655886,58.012346502478366,58.71028137207031,2645000.0
2020-08-06,58.52416560727612,59.110431900819854,58.50090324118937,59.07320785522461,1557400.0
2020-08-07,58.7754199259764,59.99448073985859,58.7754199259764,59.93864822387695,1169100.0
2020-08-10,59.82697379107822,60.76686133926145,59.82697379107822,60.68310546875,1572700.0
2020-08-11,60.971581617554236,61.371731190903965,59.86419655158268,59.90142059326172,2787700.0
2020-08-12,60.45977837175348,60.925068330471284,59.76184343367677,60.39463806152344,1496600.0
2020-08-13,60.45047337211918,60.45047337211918,59.398920572842144,59.5571174621582,1436200.0
2020-08-14,59.28724029548395,60.0317070016253,59.18487594589549,59.622249603271484,1633900.0
2020-08-17,59.98517209469159,60.050312395657215,59.28723725587687,59.51988220214844,1785500.0
2020-08-18,59.417521708866715,59.929343463741276,58.975497702253655,59.045291900634766,1680200.0
2020-08-19,59.0732003548997,59.17556469234957,58.244984969903356,58.55207443237305,1549000.0
2020-08-20,58.02929829736083,59.04686496650433,57.70255817657173,58.78547286987305,1291500.0
2020-08-21,58.84148085259318,59.50430209336584,58.430721352829906,59.401611328125,2649500.0
2020-08-24,59.38293387531028,59.96173566354356,58.85081229282463,59.560306549072266,3199900.0
2020-08-25,60.129774191584794,60.503187346469716,59.6583283315836,60.01774597167969,1604100.0
2020-08-26,60.00841907053689,60.48453018595346,59.51177407408233,59.91506576538086,1161900.0
2020-08-27,60.18579073878741,60.59188150251768,58.972176497257735,59.02819061279297,1341700.0
2020-08-28,59.06554201507278,59.40161963515067,58.48674364782784,59.36427688598633,1129900.0
2020-08-31,59.382929408769115,59.597644806499304,58.66409774095965,58.72011184692383,1736400.0
2020-09-01,58.36537897751378,60.008420696706814,58.18333753468615,59.79370880126953,2334100.0
2020-09-02,59.494970023054144,61.20335975955928,59.42028808959619,60.99797821044922,1827200.0
2020-09-03,60.56854183993836,61.10066347721069,57.002395260274746,57.73989486694336,3096800.0
2020-09-04,58.346705039041865,58.440058342624226,56.41426245304482,57.40382385253906,2697000.0
2020-09-08,57.34780445068627,57.64653926807016,56.44226253231641,56.60096740722656,2137900.0
2020-09-09,56.97438155847862,58.37470228676133,56.94637628349689,57.95460891723633,1888500.0
2020-09-10,57.86126361172863,57.86126361172863,55.76078210014564,55.91948699951172,3828900.0
2020-09-11,56.2555488290674,56.67564575236273,55.80278145967101,56.143524169921875,2273400.0
2020-09-14,56.54495745297776,56.54495745297776,55.141837454681486,56.003501892089844,2420100.0
2020-09-15,56.04084948857243,57.525190002480876,56.04084948857243,56.29290771484375,1629400.0
2020-09-16,56.81568293484046,56.95571287756113,55.45270488297289,55.81678771972656,2457000.0
2020-09-17,54.84590238774798,57.03040315295905,54.18308467740963,56.983726501464844,2219900.0
2020-09-18,57.09574647644138,58.477395901876264,56.37691470677324,56.834354400634766,3806500.0
2020-09-21,56.01284065243459,56.21822220774435,54.771220975262715,55.4620475769043,2512100.0
2020-09-22,55.02327510312861,57.05840844740112,54.94859317295727,56.937049865722656,1841500.0
2020-09-23,56.73166549313443,57.665212721467334,56.199543857880684,56.39558792114258,1733700.0
2020-09-24,56.806342786188715,58.58008379982672,56.44225996662717,57.95460891723633,2374800.0
2020-09-25,57.51585299040192,58.206676037377,57.123761250302096,57.4598388671875,1557600.0
2020-09-28,58.13199539384754,58.70145986165742,57.786583862677844,58.35604476928711,1233900.0
2020-09-29,58.27201777400231,58.58942398220406,57.7679049643173,58.2626838684082,1435400.0
2020-09-30,58.54274799350802,59.373604487579726,57.83325364073225,58.27201843261719,2494000.0
2020-10-01,58.69212311893753,59.95241422586151,57.65588495142247,58.22534942626953,2342500.0
2020-10-02,57.52518493402358,59.22424077367656,57.42249415890162,58.96284866333008,1447800.0
2020-10-05,59.504303503936036,60.33515642854375,59.03286114379107,60.25114059448242,1447700.0
2020-10-06,60.148448601994815,60.68057024074845,59.26624675031379,59.588321685791016,2107000.0
2020-10-07,60.335153902436915,61.2593707728183,60.097101926829595,60.72724914550781,1648100.0
2020-10-08,60.484528936366324,61.15668411544428,60.19513155964128,60.40984344482422,1213200.0
2020-10-09,60.6992404656537,61.30604761667457,60.02709241291722,61.0073127746582,1187000.0
2020-10-12,61.47408614921227,61.60011702461497,60.8392737223252,61.32472229003906,1185800.0
2020-10-13,60.82993424112033,61.427403832874056,60.322078677970254,60.80192184448242,1415900.0
2020-10-14,61.14735118378294,61.61412485694159,60.24180911827099,61.25004196166992,1633600.0
