Date,Open,High,Low,Close,Volume
2020-01-02,152.0996880131687,153.64302892680018,151.3280314089085,153.63394165039062,822100
2020-01-03,152.49912760471815,152.70794100897274,150.5109535943535,151.7183837890625,581300
2020-01-06,150.17508502394227,152.33575144632204,149.99351956003673,152.2177276611328,748700
2020-01-07,151.1464623712805,151.89088483372862,150.31125026222782,150.3838653564453,1009200
2020-01-08,150.6199163612009,153.15278687009118,150.6199163612009,151.73655700683594,657700
2020-01-09,153.51595762190024,154.01525921663978,152.36299538042405,153.30714416503906,594400
2020-01-10,153.35253243859634,154.26944705528638,152.06339960869812,153.57041931152344,749000
2020-01-13,154.16960686498876,155.05928740631398,153.3343807293926,154.087890625,692600
2020-01-14,154.0878596633875,154.6144091419577,152.43559613292356,152.89859008789062,588200
2020-01-15,152.02708266099137,153.86091178104212,151.62763034492284,152.78057861328125,581900
2020-01-16,153.73382073031976,156.10328674316406,153.73382073031976,156.10328674316406,748500
2020-01-17,156.59349881968896,157.7373734908904,155.8218284299348,156.5390167236328,777100
2020-01-21,155.46780825711556,156.2303915540257,154.47826465618047,154.55996704101562,540300
2020-01-22,155.6584662876873,156.4482837396671,155.2408532189902,155.36795043945312,526100
2020-01-23,154.30575612709768,155.6675178057959,152.5354687153012,155.5858154296875,751300
2020-01-24,155.60397265285093,155.67660160953065,151.15555641353546,152.126953125,558900
2020-01-27,148.48647906348043,149.59404624628417,147.10655679673965,147.43338012695312,754500
2020-01-28,148.9131665396133,150.4837276796793,148.40477776728358,149.9027099609375,619700
2020-01-29,150.8741300470943,152.39929660176327,150.1296936197745,150.73794555664062,710900
2020-01-30,151.82737436032613,155.0320528376759,150.383896257019,154.79600524902344,887000
2020-01-31,153.38883905654362,153.38883905654362,149.5395877879212,150.16600036621094,932900
2020-02-03,151.59129541176821,154.07878488818335,151.11922803723655,152.02706909179688,864900
2020-02-04,155.60395381889066,158.372871852224,155.60395381889066,157.31069946289062,681200
2020-02-05,158.87220898318535,160.3156731573331,157.67385195762753,159.8345184326172,649800
2020-02-06,161.15087121157262,161.15087121157262,159.02652632873594,159.69833374023438,521900
2020-02-07,158.4364895914013,160.0615196492983,158.10057884393996,159.1627655029297,461200
2020-02-10,158.381958447458,159.66200382239793,157.92803791452113,159.57122802734375,454500
2020-02-11,160.37013236619626,162.82131453428445,159.98884074845193,161.25982666015625,462500
