Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1990-01-02 00:00:00-05:00,0.24745849532435857,0.2632535020569694,0.24570359351191123,0.2614986002445221,183198400,0.0,0.0
1990-01-03 00:00:00-05:00,0.2667640734538373,0.2667640734538373,0.26325345039367676,0.26325345039367676,207995200,0.0,0.0
1990-01-04 00:00:00-05:00,0.2685191047988924,0.27202890912632843,0.2614986525875077,0.2641318142414093,221513600,0.0,0.0
1990-01-05 00:00:00-05:00,0.265009343624115,0.26851917226553657,0.259743792253455,0.265009343624115,123312000,0.0,0.0
1990-01-08 00:00:00-05:00,0.26325348089933304,0.2667641043663025,0.25974365412440187,0.2667641043663025,101572800,0.0,0.0
1990-01-09 00:00:00-05:00,0.266764179203049,0.266764179203049,0.25974372699166437,0.2641318142414093,86139200,0.0,0.0
1990-01-10 00:00:00-05:00,0.2641317999994884,0.2641317999994884,0.2509683590844102,0.2527240812778473,199718400,0.0,0.0
1990-01-11 00:00:00-05:00,0.2544789377591643,0.2544789377591643,0.24219375848770142,0.24219375848770142,211052800,0.0,0.0
1990-01-12 00:00:00-05:00,0.24043885673298326,0.24394868367453945,0.2369282330993509,0.24219375848770142,171897600,0.0,0.0
1990-01-15 00:00:00-05:00,0.2421937504302369,0.2509683057761496,0.24043884873390198,0.24043884873390198,161739200,0.0,0.0
1990-01-16 00:00:00-05:00,0.23517330818393423,0.2457035857128323,0.2299085794815837,0.24482612311840057,214244800,0.0,0.0
1990-01-17 00:00:00-05:00,0.243948651376235,0.243948651376235,0.2316634737313046,0.23341837525367737,197299200,0.0,0.0
1990-01-18 00:00:00-05:00,0.23166341943659768,0.23517322165875462,0.22639787254735572,0.22727613151073456,273291200,0.0,0.0
1990-01-19 00:00:00-05:00,0.23692822521706342,0.2421937504302369,0.2351733000886094,0.24043884873390198,265137600,0.0,0.0
1990-01-22 00:00:00-05:00,0.23868310325291245,0.24219372642174544,0.23341837525367737,0.23341837525367737,145611200,0.0,0.0
1990-01-23 00:00:00-05:00,0.23692815005779264,0.24043877246097792,0.231663423206766,0.23692815005779266,140873600,0.0,0.0
1990-01-24 00:00:00-05:00,0.2281535772419278,0.2404387511169593,0.2263978561342382,0.23868303000926971,169792000,0.0,0.0
1990-01-25 00:00:00-05:00,0.24043891627235026,0.2439487440830375,0.23868319395867035,0.23956145346164703,111540800,0.0,0.0
1990-01-26 00:00:00-05:00,0.23868314142790098,0.23868314142790098,0.2263979618180786,0.22990858554840088,181249600,0.0,0.0
1990-01-29 00:00:00-05:00,0.2316634737313046,0.23517327677605013,0.22552048656285406,0.23341837525367737,119929600,0.0,0.0
1990-01-30 00:00:00-05:00,0.23341830362559876,0.24219365210081312,0.23166340264174498,0.23868303000926971,116446400,0.0,0.0
1990-01-31 00:00:00-05:00,0.24219365210081312,0.24394857651677648,0.23166340264174498,0.23868303000926971,143942400,0.0,0.0
1990-02-01 00:00:00-05:00,0.24219372706925033,0.243071189548841,0.23517327740478586,0.23605073988437653,117073600,0.0,0.0
1990-02-02 00:00:00-05:00,0.2334183983922745,0.2439486755586909,0.2334183983922745,0.24043884873390198,118473600,0.0,0.0
1990-02-05 00:00:00-05:00,0.2404388494583145,0.2474584796969225,0.23868312763252106,0.2457035779953003,101752000,0.0,0.0
1990-02-06 00:00:00-05:00,0.24394859373569489,0.24570349484341697,0.23868304685652364,0.24394859373569489,73920000,0.0,0.0
1990-02-07 00:00:00-05:00,0.2316634737313046,0.23868310325291245,0.2281536472544423,0.23341837525367737,312446400,0.0,0.0
1990-02-08 00:00:00-05:00,0.23341841200201807,0.23517331380067466,0.2263979612510547,0.2316635102033615,186636800,0.0,0.0
1990-02-09 00:00:00-05:00,0.2351733000886094,0.2421937504302369,0.2334183983922745,0.24043884873390198,168078400,0.0,0.0
1990-02-12 00:00:00-05:00,0.2404387511169593,0.24219365210081312,0.23692812902541593,0.23868303000926971,74916800,0.0,0.0
1990-02-13 00:00:00-05:00,0.23868313485406906,0.2457035854292576,0.2369282330993509,0.24219375848770142,102166400,0.0,0.0
1990-02-14 00:00:00-05:00,0.2421937504302369,0.2439486755586909,0.23692822521706342,0.24043884873390198,96062400,0.0,0.0
1990-02-15 00:00:00-05:00,0.23692822521706342,0.24043884873390198,0.2351733000886094,0.24043884873390198,97966400,0.0,0.0
1990-02-16 00:00:00-05:00,0.24121334925777724,0.2429739038354594,0.23769141733646393,0.23769141733646393,127209600,0.000982,0.0
1990-02-20 00:00:00-05:00,0.2359309047460556,0.2376914833200763,0.2324097946132244,0.2359309047460556,123244800,0.0,0.0
1990-02-21 00:00:00-05:00,0.23064912592017509,0.2412133219724227,0.22888857154164177,0.23945194482803345,175907200,0.0,0.0
1990-02-22 00:00:00-05:00,0.23945206450191175,0.24297399778503387,0.23240981996059418,0.23240981996059418,195182400,0.0,0.0
1990-02-23 00:00:00-05:00,0.23064922852231903,0.23593091751502462,0.23064922852231903,0.2341703623533249,149956800,0.0,0.0
1990-02-26 00:00:00-05:00,0.2324097038063043,0.2412133219724227,0.2324097038063043,0.23945194482803345,79609600,0.0,0.0
1990-02-27 00:00:00-05:00,0.2394520383864919,0.24121341621908493,0.2359309047460556,0.2359309047460556,73953600,0.0,0.0
1990-02-28 00:00:00-05:00,0.23593081256337092,0.23945194482803345,0.2341702581848376,0.23945194482803345,109334400,0.0,0.0
1990-03-01 00:00:00-05:00,0.23593089973199408,0.24473454465836247,0.23417034470299422,0.24121341109275818,203896000,0.0,0.0
1990-03-02 00:00:00-05:00,0.23593083925118324,0.24473448192074007,0.2341702846735011,0.23769141733646393,104899200,0.0,0.0
1990-03-05 00:00:00-05:00,0.2359309308696788,0.24473457695793452,0.2359309308696788,0.24297399818897247,182470400,0.0,0.0
1990-03-06 00:00:00-05:00,0.24649512972824691,0.2482556849718094,0.24297399573351453,0.2482556849718094,156016000,0.0,0.0
1990-03-07 00:00:00-05:00,0.24649517071456206,0.2535382391337752,0.24649517071456206,0.24913601577281952,204220800,0.0,0.0
1990-03-08 00:00:00-05:00,0.25177698502202045,0.2605806133199925,0.24649529230026973,0.2588200569152832,223843200,0.0,0.0
1990-03-09 00:00:00-05:00,0.25881997881646474,0.2641016699444674,0.25529884356192434,0.2597002685070038,230473600,0.0,0.0
1990-03-12 00:00:00-05:00,0.26234090920361314,0.26410146370222237,0.25529864419398146,0.25793948769569397,163956800,0.0,0.0
1990-03-13 00:00:00-05:00,0.2570594229430025,0.26234111407100513,0.25529884356192434,0.2597002685070038,148579200,0.0,0.0
1990-03-14 00:00:00-05:00,0.25881989499312624,0.2623410291072859,0.25705933968985056,0.260580450296402,101785600,0.0,0.0
1990-03-15 00:00:00-05:00,0.25705950051057397,0.26762368521325525,0.25705950051057397,0.2588200569152832,120232000,0.0,0.0
1990-03-16 00:00:00-05:00,0.28170882383035006,0.2869905126915406,0.27554604639783026,0.28346937894821167,644761600,0.0,0.0
1990-03-19 00:00:00-05:00,0.2852298711519215,0.299315202276982,0.2817087616928618,0.29843491315841675,431793600,0.0,0.0
1990-03-20 00:00:00-05:00,0.2975546920074491,0.3028372036762933,0.28699051494357464,0.2913927137851715,391316800,0.0,0.0
1990-03-21 00:00:00-05:00,0.29051238251925693,0.2975546249669178,0.29051238251925693,0.29315322637557983,152734400,0.0,0.0
